Transaction ID,Product name,Product ID,Quantity,Total amount,Sales Channel,Customer First Name,Customer Last Name,Customer Email,Series City,Created Date
TC16191,5x7 Product E Shenzhen,PA956,1,4.2,CHweb,Gregory,Colson,Gregory.Colson@example.com,Shenzhen,2024-04-19
TC16192,5x7 Product E Okayama,PA939,1,3.5,CHweb,Bessie,Lockard,Bessie.Lockard@example.com,Okayama,2024-04-19
TC16193,4.25x6 Product A Adelaide,PA347,2,4.0,CHmobile app,Carolyn,Zelkind,Carolyn.Zelkind@example.com,Adelaide,2024-04-19
TC16194,6x9 Product A Fukuoka,PA1325,2,7.2,CHmobile app,Kathleen,Amini,Kathleen.Amini@example.com,Fukuoka,2024-04-19
TC16195,5.5x8.5 Product A Perth,PA1013,4,8.4,CHweb,Lisa,Cohan,Lisa.Cohan@example.com,Perth,2024-04-19
TC16196,6x11 Product A Hanoi,PA1695,5,7.5,CHmobile app,Ruth,Bennett,Ruth.Bennett@example.com,Hanoi,2024-04-19
TC16197,5x7 Product B Shanghai,PA757,4,14.8,CHmobile app,William,Berman,William.Berman@example.com,Shanghai,2024-04-19
TC16198,6x9 Product E Shenzhen,PA1616,2,5.2,CHmobile app,Lisa,Sisneros,Lisa.Sisneros@example.com,Shenzhen,2024-04-19
TC16199,5.5x8.5 Product E Dhaka,PA1314,2,7.6,CHweb,Janice,Olson,Janice.Olson@example.com,Dhaka,2024-04-19
TC16200,5x7 Product C Adelaide,PA809,1,1.9,CHin-store,Donald,Dunn,Donald.Dunn@example.com,Adelaide,2024-04-19
TC16201,6x9 Product A Kuala Lumpur,PA1363,3,11.7,CHin-store,Don,Atkins,Don.Atkins@example.com,Kuala Lumpur,2024-04-19
TC16202,5x7 Product A Tianjin,PA697,2,7.6,CHmobile app,Adam,Robinson,Adam.Robinson@example.com,Tianjin,2024-04-19
TC16203,4x6 Product D Ulaanbaatar,PA264,4,8.8,CHmobile app,Joseph,Hughes,Joseph.Hughes@example.com,Ulaanbaatar,2024-04-19
TC16204,6x9 Product D Osaka,PA1520,4,11.2,CHweb,Robert,Sneller,Robert.Sneller@example.com,Osaka,2024-04-19
TC16205,4.25x6 Product A Saitama,PA340,4,8.8,CHweb,Thomas,Castaneda,Thomas.Castaneda@example.com,Saitama,2024-04-19
